Email_Subject,Job_Application
Thank you for applying to Dealozo for internship,Yes
A third-party OAuth application has been added to your account,No
Auto response: AWS Educate Application Not Approved,No
Thank you for applying to Stirring Minds ,Yes
Earn your MCS from ASU - Early application deadline is next Friday,No
Thank you for applying to Strings73,Yes
Optimization with SciPy and application ideas to machine learning,No
Thank you for applying at IBM Careers,Yes
Your IBM Application Status,No
Thank you for applying to Oloid.ai,Yes
Are You Looking For Govt Job,No
Thank you for applying and completing the application,Yes
Thank you for applying at Siemens,Yes
What should you not do in your 20s,No
"Thanks for your application, Ajith",Yes
An update on your recent application,No
MCS application deadline Thursday 11/15 - There's still time to apply,No
Thank you for applying to AIMonk Labs,Yes
Application Deadline: Tomorrow | Your First Step to Become a Leader,No
Thank you for applying for the role of Junior Data Analyst ,Yes
Accenture is hiring for Machine Learning Application Designer,No
Thank You for applying to Whatscutpro,Yes
Your application status update from September 14,No
Important: Your application at AIMonk Labs,No
Can you answer Om Singh's question: Who are obstacles,No
Thank you for applying to Rightbot ,Yes
Can you answer this question about Songs?,No
Thank you for applying to Acviss Technologies ,Yes
Vaseeswaran S.P upvoted your answer to: How do you define a successful life,No
Thank you for applying to  SwitchOn ,Yes
Thank you for applying at SigTuple for AI Intern / AI Engineer ,Yes
Thank You for applying at TCS Careers,Yes
Arun Kumar followed you on Quora,No
Thank you for applying at HyperVerge,Yes
"Ajith, 15 new internships matching your profile - apply today!",No
Thank you for applying to Dozee,Yes
Thank you for applying in the role of Data Science Intern,Yes
Are You Looking For PSU Job,No
Skills you can build in 6 weeks,No
"Thanks you for applying, AJITH",Yes
There's still time to apply!,No
Thank you for applying to Simpl and successfully submitting your Application,Yes
Thank you for applying to Chipmonk Technologies ,Yes
Thank you for applying in the role of Computer Vision Intern,Yes
Thanks for Your Support Over the Years!,No
Thank you for applying to Goldman Sachs Sample Test,Yes
3 internships mandatory to get your degree - HRD Ministry,No
Thank you for applying to AINE,Yes
National Doctors' Day: A heartfelt thanks to all healthcare workers for keeping us safe,No
"Thank you for applying, Ajith",Yes
"Ajith, represent IIT Delhi, IIT Roorkee, IIT Mandi and more in your college. Apply now!",No
The ABC’s of Machine Learning,No
